from_date,item_description,purshase_price,selling_price,quantity
19-Feb,DEFR. SHRIMP 20-30,152,179.95,79.72
19-Feb,MEDIUM LOCALGROUPER 2-4 K/PC,70,94.95,4.44
19-Feb,WHITE BEANS,26.213,34.95,26.247
19-Feb,CELERY FRENCH,4.95,5.75,139
19-Feb,ROMY OLD CHEESE,72,80,247.17
19-Feb,IM BEEF CUBES,91,94.95,114.37
19-Feb,A- CUCUMBER,12,12.75,399.456
19-Feb,LATOGA RED,5.25,6.95,20
19-Feb,A-TOMATO BALADY,5.45,4.5,925.949
19-Feb,BAL BEEF KNUCKLE,127.79,157.95,11.77
19-Feb,RED PEPPERJACK JALAPENO,190,219.95,1.382
19-Feb,MUFFINS ASSORTED X 6,10.952,25,144.768
19-Feb,BAL BEEF ESCALOPE,127.79,157.95,13.143
19-Feb,KATILO MORTA NATURAL-KG,46.5,54.95,8.146
19-Feb,CHEESA FLAVOR OLIVE,78.65,85.95,8.385
19-Feb,STONE CUMIN,74.963,99.95,11.55
19-Feb,MARGACROISSANTX10,12.165,20,125.227
19-Feb,BAL BEEF CUBES LOW FAT,117.15,157.95,9.634
19-Feb,CHICKEN FILLET TANDOORY,99,109.95,0.373
19-Feb,BASARIA,15,19.95,54.289
19-Feb,CHILI RED 500GR,10.25,11.95,1
19-Feb,A-ZUCCHINI,11.5,14.95,101.616
19-Feb,MINT BALADY 100GR,2.85,3.45,78
19-Feb,JILI COCA,32.862,49.95,3.281
19-Feb,OLIVETTA MEXIC PEP,16.295,22.95,11.878
19-Feb,HALF GRILLED CHICKEN,31.5,46.45,85
19-Feb,GRIND GINGER,52.463,69.95,11.074
19-Feb,CHICKEN LIVER/KG 050,65.4,91.75,18.508
19-Feb,ABA KARAWIA,51.713,68.95,1.802
19-Feb,BREAD CRAMBS KG,9.996,19.95,150.351
19-Feb,ABA PEELED PISTACHIOS,407.862,619.95,1.447
19-Feb,TURKEY LOBES SMOKED,163,184.95,32.887
19-Feb,A-PUMPKIN,5.25,6.95,152.849
19-Feb,SABEEL BREASTS 1KG,39,45.95,138
19-Feb,SEAFOOD COCKTAIL DEFROSTED,42,50,171.881
19-Feb,A- MANDARIN,6.75,7.45,172.97
19-Feb,BAL BEEF CUBES,97,107.95,34.987
19-Feb,RICH COOKED TURKEY,130,155.95,1.825
19-Feb,N.LARGE FETEER,14.1,19.95,143
19-Feb,PACKET BOUKSOMAT BROWN LARGE,13.514,20,41
19-Feb,RICH BEEF LUNCHEON PLAIN,80,90.95,3.535
19-Feb,KOKI CHICKEN 950-1000,48.5,57.95,4
19-Feb,KOKI CHICKEN THIGH,29,30,106
19-Feb,ISIS TOMATO FOAM 900GR,19.5,26.95,30
19-Feb,DATES SOFT 700G FP EL TAHAN,25,31.95,9
19-Feb,ANISE SAMO,71.213,94.95,7.956
19-Feb,NUTMEG STONE,356.213,474.95,2.995
19-Feb,TURKEY ROSEMARY SMOKED,150,184.95,0.179
19-Feb,A-APPLE ROYAL GALA,22.45,26.95,315.504
19-Feb,JELLY PCS,3.066,8,33
19-Feb,FARM-GOUDA BLACK PAPER,104,124.95,3.964
19-Feb,RAW CASHEWS LARG 1 KG,269.704,409.95,7.099
19-Feb,ISTAMBOLY CHEESE,46,45.95,44.787
19-Feb,KATILO ROMY OLD CHEESE-KG,98,112.95,47.349
19-Feb,CORIANDER 100 GR,2.45,2.95,26
19-Feb,CORN CHILI FLAVOR,78.914,119.95,0.308
19-Feb,OLIVETTA GREEN JUM,35.465,49.95,27.709
19-Feb,HIBISCUS 050,52.463,69.95,2.07
19-Feb,KATILO CHEESE LOW SALT-KG,38.5,44.95,19.788
19-Feb,TURKEY FILLET,84,94.95,0.41
19-Feb,DANABLU CHEESE,175,209.95,5.999
19-Feb,BRIE CANTOREL,385,204.95,0.181
19-Feb,BAL BEEF TOPSIDE,127.79,164.95,9.284
19-Feb,PACKET BOUKSOMAT SPECIAL LARGE,15.4,21.95,9
19-Feb,LEMON BALADY FOAM 500GR,7.75,9.75,3
19-Feb,CHEESA FLAVOR CUMMON,78.65,85.95,10.041
19-Feb,SMOKED CHICKEN BREAST,110,167.95,2.18
19-Feb,N.DANISH FRUIT,4.65,6.95,278
19-Feb,N.WHOLEMEAL,8.75,12.95,27
19-Feb,ABA HIBISCUS 250GR,22,27.95,3
19-Feb,ABA PEANUTS,41.213,54.95,13.775
19-Feb,FRGLO MEAT BF LNCHON,100,109.95,0.363
19-Feb,DEFROSTED FILLET WHITE FISH,58,64.95,2.912
19-Feb,ABA BASMATI RICE,13.463,17.95,227.259
19-Feb,MUSHROOM BROWN 250GR,21.5,23.95,20
19-Feb,CRACKERS,51.975,74.95,137.332
19-Feb,CHICKEN BREAST BON IN MARINATED,34,68.95,10.307
19-Feb,JANA CUCUMBER ORGANIC 1K,19.5,20,6
19-Feb,LEMON SALT SAMO,32.862,49.95,0.1
19-Feb,BROCOLLI,7.75,9.95,247.002
19-Feb,MACARONA DEFROSTED,40,44.95,7.428
19-Feb,MOBI BLUE CHEESE,100,119.95,25.052
19-Feb,GRIND BLACK PEPPER,78.713,104.95,36.158
19-Feb,BLACK BEANS,19.463,25.95,20.483
19-Feb,GRILLED CHICKEN FILLET/KG,131.5,188.95,25.943
19-Feb,BAL BEEF ENTRECOTE,127.79,157.95,12.107
19-Feb,FETA CHEESE WITH BLACK OLIVES,30,35.95,1.671
19-Feb,CHICKEN LIVER/KG 052,51,56.95,19.615
19-Feb,PIZZA MARGARETA HALF COOK,13.965,19.95,6
19-Feb,MEDUIM LOTT(MORE THAN1K-2K/PC),60,84.95,10.572
19-Feb,FRUIT JELLY PCS,4.2,9,36
19-Feb,MESCLUN 100GR,23,23.95,2
19-Feb,N.BROWN MED. FINO,1.1,1.5,3
19-Feb,MINEN PLAIN KG,14.354,39.95,6.074
19-Feb,CAPSICUM ORANGE,20.5,22.95,5.631
19-Feb,DANISH FRUIT X10,27.855,46.95,1
19-Feb,WHITE CHEDDAR LOW FAT,185,219.95,0.387
19-Feb,SEA FOOD TAGIN/KG,69,96.95,0.612
19-Feb,CHEDDAR SANDWICH,6,12,95
19-Feb,REDBULL ENERGY DRINK,12.949,25,6
19-Feb,BISCUITS,54.999,84.95,12.181
19-Feb,LHEMY TRKEY SMOKED,109,131.95,15.291
19-Feb,DATES 700 GM (KARTON),25,31.95,57
19-Feb,IM BEEF SILVERSIDE,107,142.95,25.293
19-Feb,N.TOAST MLT.SEEDS 500G,15,19.95,51
19-Feb,GRAPE BLACK,18.5,23.95,1.394
19-Feb,TROUFLEX TOUFY,49,79.95,0.676
19-Feb,SAHLAB SAMO,37.463,49.95,12.833
19-Feb,ABA CHINESE CRACKERS/W CHESSE,105.23,159.95,0.143
19-Feb,POP CORN,16.463,21.95,97.544
19-Feb,A-WATER MELON,6.5,8.75,73.113
19-Feb,KARISH CHEESE,34,40,204.332
19-Feb,ABA ALMONDS ( LARGE ),263.158,400,7.784
19-Feb,CHICOBON,55,89.95,3.304
19-Feb,IM BEEF RIBYEY,107,143.95,18.869
19-Feb,BISCUIT WAFER,63.525,79.95,10.142
19-Feb,DATES SAKOUTI G2 KG,14.5,17.95,0.597
19-Feb,MINCE LOW FAT,94,100,204.382
19-Feb,ABA GOLDEN RAISINS,72.336,109.95,11.648
19-Feb,JUICE POMEGRANATE 500ML,12,15.95,3
19-Feb,TSH YOGURT CHEESE,42,49.95,1.096
19-Feb,JUICE GUAVA 250ML,4.7,6.95,18
19-Feb,RICH COOKED BEEF,130,152.95,12.124
19-Feb,ETOILE HALWA MOLOD 64,156.447,205,37
19-Feb,NABAT SUPER GREENS 100G,24.2,27.95,8
19-Feb,OLIVETTA STUF PEP,52.505,73.95,11.877
19-Feb,BLUE CHEESE EXTRA CREAMY,220,259.95,2.337
19-Feb,PIZZA SLICE HOT DOG,6.846,15,33
19-Feb,PARROT FISH,60,89.95,3.385
19-Feb,HALWANI SALAMI DRIED BEEF,121,142.95,75.581
19-Feb,FRICO EDAM SOFT MAILD,107.35,127.95,82.844
19-Feb,FRUIT MIX SALAD SLICED,9.5,11.95,560
19-Feb,CHICKEN SPICES 1 KG,59.962,79.95,17.348
19-Feb,GUAVA,13,13.95,94.38
19-Feb,CHOCOLATE SWEET 8PERSON,77.044,135.95,15
19-Feb,FARM-PAMZYAN CHEESE,108,129.95,4.296
19-Feb,IM BEEF CUBES LOW FAT,96,100,155.589
19-Feb,PASTA SALAD,3.309,6.95,4
19-Feb,OLIVETTA SUP PICK,12.74,17.95,2.07
19-Feb,LHEMY BEEF LUNCHEON BLACK PEPPER,65,84.95,47.096
19-Feb,N.CIMIT BREAD LARGE,6.25,7.95,69
19-Feb,PAPAYA GREEN,6.4,8.75,3.384
19-Feb,XP CABBAGE RED,8.25,11.95,1
19-Feb,POTATOS SALAD,4.322,6.95,2
